time average_recover sd_R av_Infected sd_I
 175 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 176 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 177 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 178 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 179 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 180 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 181 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 182 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 183 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 184 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 185 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 186 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 187 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 188 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 189 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 190 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 191 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 192 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 193 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 194 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 195 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 196 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 197 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 198 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 199 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 200 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 201 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 202 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 203 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 204 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 205 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 206 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 207 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 208 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 209 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 210 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 211 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 212 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 213 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 214 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 215 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 216 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 217 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 218 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 219 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 220 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 221 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 222 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 223 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 224 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 225 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 226 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 227 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 228 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 229 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 230 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 231 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 232 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 233 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 234 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 235 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 236 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 237 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 238 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 239 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 240 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 241 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 242 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 243 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 244 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 245 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 246 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 247 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 248 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 249 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 250 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 251 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 252 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 253 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 254 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 255 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 256 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 257 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 258 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 259 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 260 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 261 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 262 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 263 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 264 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 265 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 266 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 267 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 268 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 269 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 270 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 271 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 272 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 273 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 274 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 275 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 276 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 277 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 278 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 279 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 280 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 281 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 282 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 283 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 284 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 285 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 286 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 287 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 288 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
